Site,Treatment,Rep,Sample_Date,Season,Current_crop,Previous_crop,Crop_Stage,avgCoverCrop_Biomass,avgBiomass_Total,sumWeed_Density,totSeeds_Weeds,Total_Species,avgBiomass_Pigweed,sumPigweed_Density,totSeeds_Pigweed,avgBiomass_Grass,sumGrass_Density,totSeeds_Grasses,avgBiomass_Broadleaf,sumBroadleaf_Density,totSeeds_Otherbroad,avgMoisture,avgTemperature,FieldType,convtotSeeds_Weeds,convtotSeeds_Pigweed,convtotSeeds_Grasses,convtotSeeds_Otherbroad
Colfax,Check,1,5/28/2021,Early,Corn,Wheat,V2,228.38,0,0,14,2,0,0,0,0,0,0,0,0,14,44.63333333,20.53333333,On Farm,169.5634114,0,0,169.5634114
Colfax,Check,1,7/6/2021,Late,Corn,Wheat,V11,228.38,0,0,14,2,0,0,0,0,0,0,0,0,14,17.96666667,22.53333333,On Farm,169.5634114,0,0,169.5634114
Colfax,Check,2,5/28/2021,Early,Corn,Wheat,V2,154.48,0,0,11,1,0,0,0,0,0,0,0,0,11,45.6,20.2,On Farm,133.2283947,0,0,133.2283947
Colfax,Check,2,7/6/2021,Late,Corn,Wheat,V11,154.48,0,0,11,1,0,0,0,0,0,0,0,0,11,19.26666667,25.06666667,On Farm,133.2283947,0,0,133.2283947
Colfax,Check,3,5/28/2021,Early,Corn,Wheat,V2,114.44,0,0,4,1,0,0,0,0,0,0,0,0,4,45.13333333,23.43333333,On Farm,48.44668898,0,0,48.44668898
Colfax,Check,3,7/6/2021,Late,Corn,Wheat,V11,114.44,0,0,4,1,0,0,0,0,0,0,0,0,4,16.7,28.16666667,On Farm,48.44668898,0,0,48.44668898
Colfax,Check,4,5/28/2021,Early,Corn,Wheat,V2,121.11,0,0,35,4,0,0,19,0,0,0,0,0,16,45.66666667,22.6,On Farm,423.9085286,230.1217727,0,193.7867559
Colfax,Check,4,7/6/2021,Late,Corn,Wheat,V11,121.11,0,0,35,4,0,0,19,0,0,0,0,0,16,19.96666667,30.13333333,On Farm,423.9085286,230.1217727,0,193.7867559
Colfax,Cover,1,5/28/2021,Early,Corn,Wheat,V2,333.2266,0,0,9,3,0,0,1,0,0,5,0,0,5,46.6,20.36666667,On Farm,109.0050502,12.11167224,60.55836122,60.55836122
Colfax,Cover,1,7/6/2021,Late,Corn,Wheat,V11,333.2266,0,0,9,3,0,0,1,0,0,5,0,0,5,27.7,23.56666667,On Farm,109.0050502,12.11167224,60.55836122,60.55836122
Colfax,Cover,2,5/28/2021,Early,Corn,Wheat,V2,215.75,0,0,14,3,0,0,1,0,0,2,0,0,13,46,20.7,On Farm,169.5634114,12.11167224,24.22334449,157.4517392
Colfax,Cover,2,7/6/2021,Late,Corn,Wheat,V11,215.75,0,0,14,3,0,0,1,0,0,2,0,0,13,17.7,26.06666667,On Farm,169.5634114,12.11167224,24.22334449,157.4517392
Colfax,Cover,3,5/28/2021,Early,Corn,Wheat,V2,352.64,0,0,13,3,0,0,0,0,0,1,0,0,12,40.56666667,22.9,On Farm,157.4517392,0,12.11167224,145.3400669
Colfax,Cover,3,7/6/2021,Late,Corn,Wheat,V11,352.64,0,0,13,3,0,0,0,0,0,1,0,0,12,25.6,27.3,On Farm,157.4517392,0,12.11167224,145.3400669
Colfax,Cover,4,5/28/2021,Early,Corn,Wheat,V2,295.84,0,0,21,3,0,0,11,0,0,0,0,0,10,46.66666667,23.26666667,On Farm,254.3451171,133.2283947,0,121.1167224
Colfax,Cover,4,7/6/2021,Late,Corn,Wheat,V11,295.84,0,0,21,3,0,0,11,0,0,0,0,0,10,20.56666667,29.06666667,On Farm,254.3451171,133.2283947,0,121.1167224
Greeley,Check,1,6/3/2021,Early,Soybean,Rye,V1,0,0.3485,12,25,16,0,0,2,0.294366667,8,8,0.054133333,4,16,27.03333333,37.26666667,On Farm,302.7918061,24.22334449,96.89337796,193.7867559
Greeley,Check,1,7/21/2021,Late,Soybean,Rye,R3,0,2.037366667,34,25,16,0,0,2,2.037366667,34,8,0,0,16,26.2,30.1,On Farm,302.7918061,24.22334449,96.89337796,193.7867559
Greeley,Check,2,6/3/2021,Early,Soybean,Rye,V1,0,0.3412,19,198,18,0.002733333,0,7,0.329333333,19,143,0.009133333,0,49,33.9,31.3,On Farm,2398.111104,84.78170571,1731.969131,593.47194
Greeley,Check,2,7/21/2021,Late,Soybean,Rye,R3,0,0.035766667,30,198,18,0,0,7,0.035766667,30,143,0,0,49,22.53333333,26.6,On Farm,2398.111104,84.78170571,1731.969131,593.47194
Greeley,Check,3,6/3/2021,Early,Soybean,Rye,V1,0,0.359966667,19,188,15,0.021966667,0,6,0.302133333,19,36,0.035866667,0,146,34.56666667,27.6,On Farm,2276.994382,72.67003347,436.0202008,1768.304148
Greeley,Check,3,7/21/2021,Late,Soybean,Rye,R3,0,0.8352,8,188,15,0,0,6,0.046366667,7,36,0.788833333,1,146,25.4,25.03333333,On Farm,2276.994382,72.67003347,436.0202008,1768.304148
Greeley,Check,4,6/3/2021,Early,Soybean,Rye,V1,0,0.069333333,122,226,12,0,0,10,0.069333333,120,168,0,2,48,37.06666667,24.66666667,On Farm,2737.237927,121.1167224,2034.760937,581.3602678
Greeley,Check,4,7/21/2021,Late,Soybean,Rye,R3,0,0.452833333,7,226,12,0,0,10,0.015433333,5,168,0.4374,2,48,21.63333333,23.86666667,On Farm,2737.237927,121.1167224,2034.760937,581.3602678
Greeley,Cover,1,6/3/2021,Early,Soybean,Rye,V1,105.27,0,2,38,9,0,0,2,0,2,0,0,0,36,36.93333333,37.83333333,On Farm,460.2435453,24.22334449,0,436.0202008
Greeley,Cover,1,7/21/2021,Late,Soybean,Rye,R3,105.27,0.0006,1,38,9,0,0,2,0.0006,1,0,0,0,36,29.7,30.53333333,On Farm,460.2435453,24.22334449,0,436.0202008
Greeley,Cover,2,6/3/2021,Early,Soybean,Rye,V1,111.27,0.0238,3,300,19,0,0,83,0.0119,2,188,0.0119,1,29,24.46666667,35.63333333,On Farm,3633.501673,1005.268796,2276.994382,351.2384951
Greeley,Cover,2,7/21/2021,Late,Soybean,Rye,R3,111.27,0,0,300,19,0,0,83,0,0,188,0,0,29,24.56666667,29.5,On Farm,3633.501673,1005.268796,2276.994382,351.2384951
Greeley,Cover,3,6/3/2021,Early,Soybean,Rye,V1,105.05,0.0096,5,87,16,0.004,1,35,0.0028,4,37,0.0028,0,15,21.73333333,33.16666667,On Farm,1053.715485,423.9085286,448.1318731,181.6750837
Greeley,Cover,3,7/21/2021,Late,Soybean,Rye,R3,105.05,0.019,6,87,16,0,0,35,0.019,6,37,0,0,15,15.53333333,28.13333333,On Farm,1053.715485,423.9085286,448.1318731,181.6750837
Greeley,Cover,4,6/3/2021,Early,Soybean,Rye,V1,122.015,0.002866667,5,112,18,0,0,2,0.001433333,2,40,0.001433333,3,70,33.76666667,29.9,On Farm,1356.507291,24.22334449,484.4668898,847.8170571
Greeley,Cover,4,7/21/2021,Late,Soybean,Rye,R3,122.015,0.007066667,3,112,18,0,0,2,0.007066667,3,40,0,0,70,29.06666667,25.73333333,On Farm,1356.507291,24.22334449,484.4668898,847.8170571
Howard,Check,1,6/1/2021,Early,Corn,Rye,V3,76.5,0,0,49,11,0,0,6,0,0,2,0,0,41,43.86666667,22.2,On Farm,593.47194,72.67003347,24.22334449,496.578562
Howard,Check,1,7/7/2021,Late,Corn,Rye,V10,76.5,0,0,49,11,0,0,6,0,0,2,0,0,41,34.26666667,24.5,On Farm,593.47194,72.67003347,24.22334449,496.578562
Howard,Check,2,6/1/2021,Early,Corn,Rye,V3,206.92,0.0242,102,460,13,0,1,104,0.0096,99,148,0.0146,2,208,42.23333333,27.6,On Farm,5571.369233,1259.613913,1792.527492,2519.227827
Howard,Check,2,7/7/2021,Late,Corn,Rye,V10,206.92,0.007366667,22,460,13,0.001266667,1,104,0,0,148,0.0061,21,208,42.8,24.03333333,On Farm,5571.369233,1259.613913,1792.527492,2519.227827
Howard,Check,3,6/1/2021,Early,Corn,Rye,V3,223.3534,1.569766667,603,612,15,0,3,54,1.569766667,600,286,0,0,272,48.66666667,34.3,On Farm,7412.343414,654.0303012,3463.938262,3294.374851
Howard,Check,3,7/7/2021,Late,Corn,Rye,V10,223.3534,1.510233333,318,612,15,0.342633333,44,54,1.1676,274,286,0,0,272,50.43333333,23.7,On Farm,7412.343414,654.0303012,3463.938262,3294.374851
Howard,Check,4,6/1/2021,Early,Corn,Rye,V3,157.89,0.220266667,39,267,11,0,9,167,0.220266667,30,29,0,0,71,47.96666667,36.9,On Farm,3233.816489,2022.649265,351.2384951,859.9287294
Howard,Check,4,7/7/2021,Late,Corn,Rye,V10,157.89,0.1727,122,267,11,0.014166667,33,167,0.158533333,89,29,0,0,71,47.53333333,23.16666667,On Farm,3233.816489,2022.649265,351.2384951,859.9287294
Howard,Cover,1,6/1/2021,Early,Corn,Rye,V3,142.38,0.004566667,12,135,14,0.004566667,11,38,0,1,0,0,0,97,44.7,25.03333333,On Farm,1635.075753,460.2435453,0,1174.832208
Howard,Cover,1,7/7/2021,Late,Corn,Rye,V10,142.38,0.988833333,24,135,14,0.9875,22,38,0.001333333,2,0,0,0,97,39.73333333,24.33333333,On Farm,1635.075753,460.2435453,0,1174.832208
Howard,Cover,2,6/1/2021,Early,Corn,Rye,V3,131.16,0,72,374,17,0,58,35,0,14,133,0,0,206,47.53333333,30.1,On Farm,4529.76542,423.9085286,1610.852409,2495.004482
Howard,Cover,2,7/7/2021,Late,Corn,Rye,V10,131.16,0.003666667,6,374,17,0,0,35,0.003666667,6,133,0,0,206,41.2,23.83333333,On Farm,4529.76542,423.9085286,1610.852409,2495.004482
Howard,Cover,3,6/1/2021,Early,Corn,Rye,V3,182.63334,0.101633333,43,275,14,0,0,100,0.101633333,41,56,0,2,119,46.03333333,36.4,On Farm,3330.709867,1211.167224,678.2536457,1441.288997
Howard,Cover,3,7/7/2021,Late,Corn,Rye,V10,182.63334,0.053466667,46,275,14,0.0021,7,100,0.0468,37,56,0.004566667,2,119,46.66666667,23.43333333,On Farm,3330.709867,1211.167224,678.2536457,1441.288997
Howard,Cover,4,6/1/2021,Early,Corn,Rye,V3,146.62,0.005566667,19,137,16,0.001966667,19,22,0.0036,0,31,0,0,84,42.6,36.86666667,On Farm,1659.299098,266.4567894,375.4618396,1017.380469
Howard,Cover,4,7/7/2021,Late,Corn,Rye,V10,146.62,0.005733333,14,137,16,0.005733333,14,22,0,0,31,0,0,84,35.56666667,22.16666667,On Farm,1659.299098,266.4567894,375.4618396,1017.380469
Merrick,Check,1,6/2/2021,Early,Corn,Soybean,V3,0,0.057333333,17,139,13,0.0017,4,71,0.055633333,13,11,0,0,58,17.7,26.3,On Farm,1683.522442,859.9287294,133.2283947,702.4769902
Merrick,Check,2,6/2/2021,Early,Corn,Soybean,V3,0,0.173,4,656,10,0.0277,4,57,0.0153,0,10,0.13,0,589,19.66666667,31.56666667,On Farm,7945.256993,690.365318,121.1167224,7133.774952
Merrick,Check,3,6/2/2021,Early,Corn,Soybean,V3,0,0.068,18,201,13,0.034366667,12,40,0.019533333,5,103,0.0141,1,57,21.33333333,36.83333333,On Farm,2434.446121,484.4668898,1247.502241,690.365318
Merrick,Check,4,6/2/2021,Early,Corn,Soybean,V3,0,0.2659,10,209,12,0.003633333,6,59,0.025966667,4,54,0.2363,0,96,17.9,35.96666667,On Farm,2531.339499,714.5886624,654.0303012,1162.720536
Merrick,Cover,1,6/2/2021,Early,Corn,Soybean,V3,387.2734,0.004533333,32,257,16,0.004533333,21,195,0,11,19,0,0,42,14.03333333,22.16666667,On Farm,3112.699767,2361.776088,230.1217727,508.6902343
Merrick,Cover,2,6/2/2021,Early,Corn,Soybean,V3,449.7466,0.0026,26,372,11,0.0026,17,285,0,9,22,0,0,65,20.63333333,28.63333333,On Farm,4505.542075,3451.82659,266.4567894,787.2586959
Merrick,Cover,3,6/2/2021,Early,Corn,Soybean,V3,418.7866,0.048433333,23,471,15,0.048433333,9,336,0,13,27,0,1,108,22.63333333,34.06666667,On Farm,5704.597627,4069.521874,327.0151506,1308.060602
Merrick,Cover,4,6/2/2021,Early,Corn,Soybean,V3,353.9334,0.004866667,17,288,11,0.001133333,15,218,0.003733333,2,30,0,0,40,14.33333333,36.46666667,On Farm,3488.161607,2640.344549,363.3501673,484.4668898
ENREC,Check,1,6/4/2021,Early,Corn,Soybean,V3,0,0.3756,372,5,3,0.022266667,332,1,0.058166667,8,0,0.013466667,32,4,42.13333333,12.56666667,Research Station,315.7640386,63.15280772,0,252.6112309
ENREC,Check,1,7/3/2021,Late,Corn,Soybean,V10,0,0.317333333,136,5,3,0.317333333,124,1,0,0,0,0,12,4,16.4,26.66666667,Research Station,315.7640386,63.15280772,0,252.6112309
ENREC,Check,2,6/4/2021,Early,Corn,Soybean,V3,0,0.823733333,444,7,3,0.014266667,372,1,0,0,0,0.191666667,72,6,41.53333333,13.26666667,Research Station,442.0696541,63.15280772,0,378.9168463
ENREC,Check,2,7/3/2021,Late,Corn,Soybean,V10,0,4.390933333,976,7,3,4.390933333,960,1,0,8,0,0,8,6,22.6,25.2,Research Station,442.0696541,63.15280772,0,378.9168463
ENREC,Check,3,6/4/2021,Early,Corn,Soybean,V3,0,8.322666667,2212,19,3,2.066666667,2196,17,0.014,0,0,0,16,2,41.63333333,13.93333333,Research Station,1199.903347,1073.597731,0,126.3056154
ENREC,Check,3,7/3/2021,Late,Corn,Soybean,V10,0,11.65386667,312,19,3,11.65386667,312,17,0,0,0,0,0,2,28.83333333,22.53333333,Research Station,1199.903347,1073.597731,0,126.3056154
ENREC,Rye,1,6/4/2021,Early,Corn,Soybean,V3,29.99899,1.1128,192,6,1,0.026066667,132,6,0.0713,4,0,0.180833333,56,0,39.06666667,12.36666667,Research Station,378.9168463,378.9168463,0,0
ENREC,Rye,1,7/3/2021,Late,Corn,Soybean,V10,29.99899,0.293333333,48,6,1,0.293333333,44,6,0,0,0,0,4,0,24.9,25.93333333,Research Station,378.9168463,378.9168463,0,0
ENREC,Rye,2,6/4/2021,Early,Corn,Soybean,V3,13.8639,0.134933333,112,30,8,0.025266667,56,5,0,0,0,0.008466667,56,26,42.23333333,12.7,Research Station,1894.584232,315.7640386,0,1641.973001
ENREC,Rye,2,7/3/2021,Late,Corn,Soybean,V10,13.8639,0.101333333,140,30,8,0.101333333,116,5,0,0,0,0,24,26,20.03333333,24.9,Research Station,1894.584232,315.7640386,0,1641.973001
ENREC,Rye,3,6/4/2021,Early,Corn,Soybean,V3,12.47536,0.437466667,564,24,5,0.109366667,524,16,0,4,0,0,36,8,42.93333333,13.4,Research Station,1515.667385,1010.444924,0,505.2224618
ENREC,Rye,3,7/3/2021,Late,Corn,Soybean,V10,12.47536,0.221866667,116,24,5,0.221866667,112,16,0,0,0,0,4,8,30.1,23,Research Station,1515.667385,1010.444924,0,505.2224618
ENREC,Vetch,1,6/4/2021,Early,Corn,Soybean,V3,0,0.105866667,48,17,7,0.005133333,32,9,0.021333333,8,2,0,8,6,42.66666667,12.36666667,Research Station,1073.597731,568.3752695,126.3056154,378.9168463
ENREC,Vetch,1,7/3/2021,Late,Corn,Soybean,V10,0,0.130533333,88,17,7,0.1264,72,9,0.004133333,12,2,0,4,6,20.56666667,27.16666667,Research Station,1073.597731,568.3752695,126.3056154,378.9168463
ENREC,Vetch,2,6/4/2021,Early,Corn,Soybean,V3,0,0.521866667,120,32,5,0.023433333,108,25,0,4,0,0.107033333,8,7,41.66666667,12.36666667,Research Station,2020.889847,1578.820193,0,442.0696541
ENREC,Vetch,2,7/3/2021,Late,Corn,Soybean,V10,0,0.304533333,72,32,5,0.304533333,48,25,0,0,0,0,24,7,23.03333333,24.23333333,Research Station,2020.889847,1578.820193,0,442.0696541
ENREC,Vetch,3,6/4/2021,Early,Corn,Soybean,V3,0,1.267066667,148,31,7,0.177,104,23,0.0611,8,0,0.078666667,36,8,42.03333333,13.26666667,Research Station,1957.737039,1452.514578,0,505.2224618
ENREC,Vetch,3,7/3/2021,Late,Corn,Soybean,V10,0,1.217466667,48,31,7,1.093866667,32,23,0,0,0,0.1236,16,8,28.6,23.66666667,Research Station,1957.737039,1452.514578,0,505.2224618
SCAL,Check,1,5/27/2021,Early,Corn,Soybean,V3,0,1.1296,708,23,5,1.086666667,652,10,0,0,0,0.042933333,56,13,39.76666667,37,Research Station,1452.514578,631.5280772,0,820.9865004
SCAL,Check,1,7/2/2021,Late,Corn,Soybean,V10,0,2.704266667,28,23,5,2.484133333,20,10,0.220133333,8,0,0,0,13,32.33333333,29.76666667,Research Station,1452.514578,631.5280772,0,820.9865004
SCAL,Check,2,5/27/2021,Early,Corn,Soybean,V3,0,0.8144,488,32,5,0.8144,464,6,0,0,0,0,24,26,44.7,28.16666667,Research Station,2020.889847,378.9168463,0,1641.973001
SCAL,Check,2,7/2/2021,Late,Corn,Soybean,V10,0,13.38,80,32,5,11.6884,68,6,1.6916,12,0,0,0,26,30.43333333,27.1,Research Station,2020.889847,378.9168463,0,1641.973001
SCAL,Check,3,5/27/2021,Early,Corn,Soybean,V3,0,1.097066667,540,6,3,1.047466667,532,4,0,0,0,0.0496,8,2,43.06666667,26.5,Research Station,378.9168463,252.6112309,0,126.3056154
SCAL,Check,3,7/2/2021,Late,Corn,Soybean,V10,0,6.5136,144,6,3,6.446,120,4,0,0,0,0.0676,24,2,34.46666667,23.93333333,Research Station,378.9168463,252.6112309,0,126.3056154
SCAL,Rye,1,5/27/2021,Early,Corn,Soybean,V3,29.4285026,0.422533333,408,43,9,0.401466667,372,25,0.005066667,16,0,0.016,20,18,45.46666667,39.6,Research Station,2715.570732,1578.820193,0,1136.750539
SCAL,Rye,1,7/2/2021,Late,Corn,Soybean,V10,29.4285026,0.7864,24,43,9,0.0696,4,25,0.6228,12,0,0.094,8,18,34.86666667,29.76666667,Research Station,2715.570732,1578.820193,0,1136.750539
SCAL,Rye,2,5/27/2021,Early,Corn,Soybean,V3,30.0205171,0.528533333,400,51,6,0.443866667,380,25,0.006933333,4,0,0.077733333,16,26,42.36666667,28.33333333,Research Station,3220.793194,1578.820193,0,1641.973001
SCAL,Rye,2,7/2/2021,Late,Corn,Soybean,V10,30.0205171,1.058,28,51,6,0.410666667,8,25,0.4732,8,0,0.174133333,12,26,27.4,28.7,Research Station,3220.793194,1578.820193,0,1641.973001
SCAL,Rye,3,5/27/2021,Early,Corn,Soybean,V3,34.7028136,0.541066667,488,10,3,0.541066667,488,7,0,0,0,0,0,3,45.26666667,22.23333333,Research Station,631.5280772,442.0696541,0,189.4584232
SCAL,Rye,3,7/2/2021,Late,Corn,Soybean,V10,34.7028136,10.982,396,10,3,10.97973333,388,7,0,0,0,0.002266667,8,3,42.16666667,22.73333333,Research Station,631.5280772,442.0696541,0,189.4584232
SCAL,Vetch,1,5/27/2021,Early,Corn,Soybean,V3,23.357663,0.7764,388,19,6,0.542666667,360,8,0,0,0,0.233733333,28,11,41.7,35.6,Research Station,1199.903347,505.2224618,0,694.680885
SCAL,Vetch,1,7/2/2021,Late,Corn,Soybean,V10,23.357663,6.787866667,228,19,6,4.545333333,128,8,0,0,0,2.242533333,100,11,25.33333333,27.9,Research Station,1199.903347,505.2224618,0,694.680885
SCAL,Vetch,2,5/27/2021,Early,Corn,Soybean,V3,5.6833392,1.1752,344,35,4,0.8488,304,19,0,0,0,0.3264,40,16,41,29.9,Research Station,2210.34827,1199.903347,0,1010.444924
SCAL,Vetch,2,7/2/2021,Late,Corn,Soybean,V10,5.6833392,0.452,112,35,4,0.332266667,24,19,0,4,0,0.119733333,84,16,21.73333333,26.26666667,Research Station,2210.34827,1199.903347,0,1010.444924
SCAL,Vetch,3,5/27/2021,Early,Corn,Soybean,V3,5.4788251,0.6696,596,54,6,0.6696,588,19,0,0,0,0,8,35,47.53333333,31.4,Research Station,3410.251617,1199.903347,0,2210.34827
SCAL,Vetch,3,7/2/2021,Late,Corn,Soybean,V10,5.4788251,4.880933333,92,54,6,4.785733333,72,19,0,0,0,0.0952,20,35,37.8,25.56666667,Research Station,3410.251617,1199.903347,0,2210.34827
