Site,Treatment,Rep,TOTAL_SPECIES,TOTAL_WEEDS,TOTAL_PIGWEEDS,TOTAL_GRASSES,TOTAL_OTHERBROAD,AMATU,SOLRO,ERICA,SCHAC,MOLVE,OXAST,AMARE,CHEAL,SETVI,EUPMA,POROL,THLAR,ABUTH,PLOT,AMAPA,SETPU,ECHCR,MEDLU,SOLPT,DIGSA,SINAR,AEGCY,ERACIL,ERASP,ELYRE,AVEFA,SOLPH,AMBPS,MELOF,DIGIS,ALOCA,CHANU,VERST,CAPBU,SECCE,VERBR,UNKNOWN,CERFO,POAAN,DESPI,SETFA,STELME,POLPE,CHOTE,AMAAL,CYPES,ANAAR,CENLO,FALCO,HELAN,VERPE,FAGES,AMAHY,LINDU,FATVI,HIBTR,TRITE,SIDSP
Colfax,Check,1,2,14,0,0,14,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colfax,Check,2,1,11,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colfax,Check,3,1,4,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colfax,Check,4,4,35,19,0,16,19,1,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colfax,Multi Species,1,3,9,1,5,5,1,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colfax,Multi Species,2,3,14,1,2,13,1,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colfax,Multi Species,3,3,13,0,1,12,0,0,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colfax,Multi Species,4,3,21,11,0,10,11,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENREC,Check,1,3,5,1,0,4,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENREC,Check,2,3,7,1,0,6,1,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENREC,Check,3,3,19,17,0,2,17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENREC,Cereal Rye,1,1,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENREC,Cereal Rye,2,8,30,5,0,26,4,0,4,0,7,0,0,3,0,2,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENREC,Cereal Rye,3,5,24,16,0,8,16,0,0,0,4,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENREC,VetchDNI,1,7,17,9,2,6,9,0,0,1,1,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENREC,VetchDNI,2,5,32,25,0,7,25,0,1,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENREC,VetchDNI,3,7,31,23,0,8,21,0,1,0,0,0,2,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greeley,Check,1,16,25,2,8,16,0,0,0,0,0,4,0,1,0,2,0,0,0,0,2,3,0,2,1,0,0,0,1,1,1,0,0,0,1,0,0,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greeley,Check,2,18,198,7,143,49,0,0,12,0,4,2,4,11,94,0,2,2,0,0,3,26,11,0,13,3,0,3,5,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greeley,Check,3,15,188,6,36,146,2,0,61,0,0,3,4,1,24,0,0,64,0,0,0,8,2,0,10,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greeley,Check,4,12,226,10,168,48,0,0,19,0,0,2,5,3,166,0,0,16,0,0,5,0,0,0,4,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greeley,Multi Species,1,9,38,2,0,36,0,0,18,0,0,2,2,0,0,2,0,1,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greeley,Multi Species,2,19,300,83,188,29,0,0,6,1,0,1,58,1,3,6,0,0,0,0,25,11,1,11,0,38,1,4,0,0,0,0,1,0,0,129,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greeley,Multi Species,3,16,87,35,37,15,0,2,2,0,0,2,13,2,5,2,0,0,0,0,22,10,0,3,0,5,0,12,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greeley,Multi Species,4,18,112,2,40,70,0,0,37,0,9,6,1,1,12,0,1,12,1,0,1,2,22,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Howard,Check,1,11,49,6,2,41,2,0,16,0,0,2,3,1,0,0,0,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Howard,Check,2,13,460,104,148,208,1,0,0,0,29,11,87,161,141,0,0,0,0,0,5,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0
Howard,Check,3,15,612,54,286,272,4,0,1,2,1,264,19,2,195,0,0,0,0,0,13,81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,18,0,0,0,2,0,0,0,0,0,0,0,0,0
Howard,Check,4,11,267,167,29,71,157,0,8,0,0,5,6,50,8,0,0,2,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Howard,Multi Species,1,14,135,38,0,97,0,0,59,0,1,2,30,16,0,0,0,2,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,0,0,0,0,0,0,0
Howard,Multi Species,2,17,374,35,133,206,0,0,3,1,1,79,14,79,132,1,0,2,0,0,13,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,2,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Howard,Multi Species,3,14,275,100,56,119,4,0,0,0,0,6,75,103,21,0,0,5,2,0,20,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Howard,Multi Species,4,16,137,22,31,84,4,0,22,0,0,0,12,51,14,0,0,2,1,0,6,12,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
Merrick,Check,1,13,139,71,11,58,1,0,0,1,23,0,15,0,3,0,0,0,0,0,54,0,2,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,1,0,0,0,0,0
Merrick,Check,2,10,656,57,10,589,8,0,0,0,56,0,0,0,0,0,0,0,0,0,49,0,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,509,0,0,0,0,0,0,15,0,0,0,0
Merrick,Check,3,13,201,40,103,57,2,0,0,0,15,1,2,2,1,0,0,0,0,0,36,3,96,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0
Merrick,Check,4,12,209,59,54,96,0,0,1,1,29,0,6,0,2,0,0,0,0,0,53,0,24,0,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,0,0,0,0,0,0,28,0,0,0,0
Merrick,Multi Species,1,16,257,195,19,42,3,0,1,1,25,1,31,1,10,0,0,0,0,0,161,1,3,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0
Merrick,Multi Species,2,11,372,285,22,65,4,0,0,1,8,0,10,0,12,0,0,0,0,0,271,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,1,0,0,1,0,0,0
Merrick,Multi Species,3,15,471,336,27,108,3,0,0,1,13,0,36,1,6,0,0,0,0,0,297,0,12,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,81,0,0,0,0,1,0,0,0,1,0,0
Merrick,Multi Species,4,11,288,218,30,40,3,0,0,0,29,0,9,0,12,0,0,0,0,0,206,0,2,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,2,0,0,0,0,0,0
SCAL,Check,1,5,23,10,0,13,1,0,0,0,0,0,2,1,0,0,0,0,0,0,7,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCAL,Check,2,5,32,6,0,26,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SCAL,Check,3,3,6,4,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCAL,Cereal Rye,1,9,43,25,0,18,7,0,1,0,0,1,5,0,0,1,0,0,0,0,12,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
SCAL,Cereal Rye,2,6,51,25,0,26,10,0,0,0,0,4,4,0,0,0,0,0,1,0,11,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCAL,Cereal Rye,3,3,10,7,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCAL,Hairy Vetch,1,6,19,8,0,11,1,0,0,0,3,0,1,0,0,2,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCAL,Hairy Vetch,2,4,35,19,0,16,12,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCAL,Hairy Vetch,3,6,54,19,0,35,2,0,0,0,0,4,5,0,0,0,0,0,0,0,12,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
